,names,exp vals
0,IIII,(1+0j)
1,IIIX,0j
2,IIIY,0j
3,IIIZ,(1+0j)
4,IIXI,0j
5,IIXX,0j
6,IIXY,0j
7,IIXZ,0j
8,IIYI,0j
9,IIYX,0j
10,IIYY,0j
11,IIYZ,0j
12,IIZI,(1+0j)
13,IIZX,0j
14,IIZY,0j
15,IIZZ,(1+0j)
16,IXII,0j
17,IXIX,0j
18,IXIY,0j
19,IXIZ,0j
20,IXXI,0j
21,IXXX,0j
22,IXXY,0j
23,IXXZ,0j
24,IXYI,0j
25,IXYX,0j
26,IXYY,0j
27,IXYZ,0j
28,IXZI,0j
29,IXZX,0j
30,IXZY,0j
31,IXZZ,0j
32,IYII,0j
33,IYIX,0j
34,IYIY,0j
35,IYIZ,0j
36,IYXI,0j
37,IYXX,0j
38,IYXY,0j
39,IYXZ,0j
40,IYYI,0j
41,IYYX,0j
42,IYYY,0j
43,IYYZ,0j
44,IYZI,0j
45,IYZX,0j
46,IYZY,0j
47,IYZZ,0j
48,IZII,(1+0j)
49,IZIX,0j
50,IZIY,0j
51,IZIZ,(1+0j)
52,IZXI,0j
53,IZXX,0j
54,IZXY,0j
55,IZXZ,0j
56,IZYI,0j
57,IZYX,0j
58,IZYY,0j
59,IZYZ,0j
60,IZZI,(1+0j)
61,IZZX,0j
62,IZZY,0j
63,IZZZ,(1+0j)
64,XIII,0j
65,XIIX,0j
66,XIIY,0j
67,XIIZ,0j
68,XIXI,0j
69,XIXX,0j
70,XIXY,0j
71,XIXZ,0j
72,XIYI,0j
73,XIYX,0j
74,XIYY,0j
75,XIYZ,0j
76,XIZI,0j
77,XIZX,0j
78,XIZY,0j
79,XIZZ,0j
80,XXII,0j
81,XXIX,0j
82,XXIY,0j
83,XXIZ,0j
84,XXXI,0j
85,XXXX,0j
86,XXXY,0j
87,XXXZ,0j
88,XXYI,0j
89,XXYX,0j
90,XXYY,0j
91,XXYZ,0j
92,XXZI,0j
93,XXZX,0j
94,XXZY,0j
95,XXZZ,0j
96,XYII,0j
97,XYIX,0j
98,XYIY,0j
99,XYIZ,0j
100,XYXI,0j
101,XYXX,0j
102,XYXY,0j
103,XYXZ,0j
104,XYYI,0j
105,XYYX,0j
106,XYYY,0j
107,XYYZ,0j
108,XYZI,0j
109,XYZX,0j
110,XYZY,0j
111,XYZZ,0j
112,XZII,0j
113,XZIX,0j
114,XZIY,0j
115,XZIZ,0j
116,XZXI,0j
117,XZXX,0j
118,XZXY,0j
119,XZXZ,0j
120,XZYI,0j
121,XZYX,0j
122,XZYY,0j
123,XZYZ,0j
124,XZZI,0j
125,XZZX,0j
126,XZZY,0j
127,XZZZ,0j
128,YIII,0j
129,YIIX,0j
130,YIIY,0j
131,YIIZ,0j
132,YIXI,0j
133,YIXX,0j
134,YIXY,0j
135,YIXZ,0j
136,YIYI,0j
137,YIYX,0j
138,YIYY,0j
139,YIYZ,0j
140,YIZI,0j
141,YIZX,0j
142,YIZY,0j
143,YIZZ,0j
144,YXII,0j
145,YXIX,0j
146,YXIY,0j
147,YXIZ,0j
148,YXXI,0j
149,YXXX,0j
150,YXXY,0j
151,YXXZ,0j
152,YXYI,0j
153,YXYX,0j
154,YXYY,0j
155,YXYZ,0j
156,YXZI,0j
157,YXZX,0j
158,YXZY,0j
159,YXZZ,0j
160,YYII,0j
161,YYIX,0j
162,YYIY,0j
163,YYIZ,0j
164,YYXI,0j
165,YYXX,0j
166,YYXY,0j
167,YYXZ,0j
168,YYYI,0j
169,YYYX,0j
170,YYYY,0j
171,YYYZ,0j
172,YYZI,0j
173,YYZX,0j
174,YYZY,0j
175,YYZZ,0j
176,YZII,0j
177,YZIX,0j
178,YZIY,0j
179,YZIZ,0j
180,YZXI,0j
181,YZXX,0j
182,YZXY,0j
183,YZXZ,0j
184,YZYI,0j
185,YZYX,0j
186,YZYY,0j
187,YZYZ,0j
188,YZZI,0j
189,YZZX,0j
190,YZZY,0j
191,YZZZ,0j
192,ZIII,(1+0j)
193,ZIIX,0j
194,ZIIY,0j
195,ZIIZ,(1+0j)
196,ZIXI,0j
197,ZIXX,0j
198,ZIXY,0j
199,ZIXZ,0j
200,ZIYI,0j
201,ZIYX,0j
202,ZIYY,0j
203,ZIYZ,0j
204,ZIZI,(1+0j)
205,ZIZX,0j
206,ZIZY,0j
207,ZIZZ,(1+0j)
208,ZXII,0j
209,ZXIX,0j
210,ZXIY,0j
211,ZXIZ,0j
212,ZXXI,0j
213,ZXXX,0j
214,ZXXY,0j
215,ZXXZ,0j
216,ZXYI,0j
217,ZXYX,0j
218,ZXYY,0j
219,ZXYZ,0j
220,ZXZI,0j
221,ZXZX,0j
222,ZXZY,0j
223,ZXZZ,0j
224,ZYII,0j
225,ZYIX,0j
226,ZYIY,0j
227,ZYIZ,0j
228,ZYXI,0j
229,ZYXX,0j
230,ZYXY,0j
231,ZYXZ,0j
232,ZYYI,0j
233,ZYYX,0j
234,ZYYY,0j
235,ZYYZ,0j
236,ZYZI,0j
237,ZYZX,0j
238,ZYZY,0j
239,ZYZZ,0j
240,ZZII,(1+0j)
241,ZZIX,0j
242,ZZIY,0j
243,ZZIZ,(1+0j)
244,ZZXI,0j
245,ZZXX,0j
246,ZZXY,0j
247,ZZXZ,0j
248,ZZYI,0j
249,ZZYX,0j
250,ZZYY,0j
251,ZZYZ,0j
252,ZZZI,(1+0j)
253,ZZZX,0j
254,ZZZY,0j
255,ZZZZ,(1+0j)
